Year,C,Survey 1,Survey 2
1916,78,,
1917,122,,
1918,140,,
1919,97,,
1920,99,,
1921,82,,
1922,71,,
1923,78,,
1924,50,,
1925,62,,
1926,95,,
1927,79,,
1928,89,,
1929,87,,
1930,112,,
1931,100,,
1932,100,,
1933,86,,
1934,91,,
1935,98,,
1936,111,,
1937,103,,
1938,84,,
1939,77,,
1940,121,,
1941,130,,
1942,147,,
1943,491,,
1944,961,,
1945,1621,,
1946,1160,,
1947,643,,
1948,478,,
1949,374,,
1950,424,,
1951,554,,
1952,542,,
1953,469,,
1954,448,,
1955,465,,
1956,601,,
1957,761,,
1958,702,,
1959,672,,
1960,811,,
1961,677,,
1962,758,,
1963,434,,
1964,601,,
1965,260,,
1966,4287,,
1967,4821,,
1968,2388,,
1969,847,,
1970,852,,
1971,1092,,
1972,919,,
1973,1156,,
1974,903,,
1975,872,,
1976,1320,,
1977,1085,,
1978,1569,,
1979,9387,,
1980,21841,7256,
1981,27859,,
1982,26031,,
1983,10442,10839,
1984,10344,,
1985,9331,,
1986,9774,5847,
1987,13094,,
1988,10645,,
1989,12709,3885,
1990,10462,,
1991,6797,,
1992,6412,7441,
1993,8347,,
1994,6717,,
1995,6912,5885,
1996,6320,,
1997,6653,,
1998,4149,9718,
1999,4103,,
2000,4032,,
2001,1962,1981,
2002,429,,
2003,42,,258260
2004,87,1069,372306
2005,195,,121832
2006,213,,119090
2007,240,,373443
2008,263,,217903
2009,177,,1107686
2010,166,,1772646
2011,200,,1784591
2012,270,,2221772
2013,469,,2188087
2014,722,,3341072
2015,520,,2743758
2016,608,,4109085
2017,4894,,3610745
2018,9409,,2838473
2019,9302,,
2020,8276,,
2021,10754,,
